ï»¿facilityId,serviceLineLevel3,orderId,lineItemId,sku,masterMaterialId,batchId,deviationNumber,deviationDescription,deviationTypeName,deviationStatusName,deviationSeverityName,deviationOpenedDate,deviationClosedDate,deviationProjectedCloseDate,START_DATE,END_DATE,ACTIVE,CHANGE,DATE_SENT,ID,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
1031,Steriles         ,72437,20,13775,5000000026,AS6710B   ,"396,080        ",hNVQZ rHLOZGLI nZOUFMXGRLMVW wFIRMT kILWFXGRLM LU znt-583 yZGXS zh3289z                                                   ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2022.09.10         ,2023.01.05         ,2022.10.10                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,72437,20,13775,5000000026,AS6710B   ,"418,433        ","znt 583 zHHZB llh, hGVIROVH oZY                                                                                           ",llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nZQLI                ,2022.10.14         ,2023.01.05         ,2022.11.13                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1003,OSD              ,60236,10,4000006605,5000005367,CSCMD     ,"437,759        ","nZXILKZXGLI (nut7375) OLHG WZGZ WFIRMT snrH ZFGLNZGRX GRNV XSZMTV ULI WZBORTSG HZERMTH GRNV, wVHXLEB 89 NT, xmnes, nRC z  ",wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2022.11.11         ,2022.12.07         ,2022.12.11                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,51462,10,362051,7000000211,H09       ,"739,244        ",wRHXLEVIB LU XLMGZNRMZGVW ERZO LU nVWRZ uROO YZGXS 98895                                                                  ,wVERZGRLM                        ,rMEVHGRTZGRLM/ixz/xzkz kOZM ,xIRGRXZO             ,2024.02.09         ,?                  ,2024.03.10                 ,"Feb 13, 2024","Dec 31, 9000",Y     ,U     ,"Feb 13, 2024, 11:56:51.017 AM",1 ,,,,
1013,Steriles         ,51462,10,362051,7000000211,H09       ,"664,828        ",oFHKZGVIXVKG YZGXS s90 (XLWV 648170) - rMXLIIVXG XZOXFOZGRLM WFIRMT YFOP HLOFGRLM KIVKZIZGRLM. pd: wLXFNVMGZGRLM VIILI    ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.10.18         ,2023.11.30         ,2023.11.17                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1003,OSD              ,61243,10,4000006267,5000005695,CPHKT     ,"571,414        ",lFG LU HKVXRURXZGRLM IVHFOGH ULI kILKBO tZOOZGV YOVMW FMRULINRGB RM nLNVOLGRMRY xLNNLM yOVMW.                             ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nZQLI                ,2023.05.23         ,2023.06.14         ,2023.06.22                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1003,OSD              ,61243,10,4000006267,5000005695,CPHKT     ,"457,927        ",yIZXPVG HGZMWZIW NRHHRMT ZG VMW LU HVJFVMXV ULI 6 nny WRHHLOFGRLM YZGXSVH                                                 ,wVERZGRLM                        ,xOLHVW - wLMV               ,nRMLI                ,2022.12.12         ,2023.02.09         ,2023.01.11                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,68005,10,13775,5000000026,AP5514B   ,"614,871        ",zntvm-k-7978-57 / 986224 / znt 583 7.4NT oRJFRW eRZO                                                                      ,hGZYRORGB                        ,lKVM                        ,?                    ,2021.03.25         ,?                  ,?                          ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,68005,10,13775,5000000026,AP5514B   ,"72,239         ",7/73/78 786321-ouk zXGRLM gRVI 7 zk4485z zNTVM                                                                            ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nRMLI                ,2021.03.10         ,2021.04.14         ,2021.04.09                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1031,Steriles         ,68005,10,13775,5000000026,AP5514B   ,"65,509         ","znt583 YZGXS zk4485z, UROORMT KZHG GSV EZORWZGVW 75SLFI UROO GRNV                                                         ",wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2021.02.26         ,2021.07.26         ,2021.03.28                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,2022300712,10,360478,7000000084,0010664298,"424,019        ",llh LM zHHZB GVHG ULI YZGXS 9989335701 LU znt-468 9.5 NT/ERZO 7x hGVK                                                     ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nRMLI                ,2022.10.25         ,2022.11.09         ,2022.11.24                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,48563,10,360147,7000000138,23A062    ,"540,044        ",kILOLMTVW HGLKKVIRMT HGVK ZMW SRTS MFNYVI LU HGRXPB ERZOH pd: vJFRKNVMG NZOUFMXGRLM oBL NZXSRMV                           ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.04.04         ,2023.09.19         ,2023.05.04                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,48563,10,360147,7000000138,23A062    ,"531,654        ",llh rkx eZOFV ULI kILGVRM xLMXVMGIZGRLM LM iVNRXZWV 899NT YZGXS 76z937 HGVK 5x                                            ,llh/llg/v(f)n                    ,xOLHVW - wLMV               ,nZQLI                ,2023.03.27         ,2023.09.14         ,2023.04.26                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,48563,10,360147,7000000138,23A062    ,"563,091        ",yRLRMWRXZGLI DRGS KLHRGREV IVHFOG (TILDGS) zgx 984 - hg7 pVB dLIW eZORWZGRLM                                              ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.05.10         ,2023.09.18         ,2023.06.09                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1013,Steriles         ,48563,10,360147,7000000138,23A062    ,"634,272        ",wRHXLEVIB LU XLMGZNRMZGVW ERZO LU nVWRZ uROO YZGXS 98927                                                                  ,wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2023.08.30         ,2023.11.06         ,2023.09.29                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1005,OSD              ,51194,10,3000003389,7000000416,CKKFX     ,"222,240        ","gSV HKIZB IZGV DZH MLG RMXIVZHVW GL 519 T/NRM ZUGVI 79.4PT LU HLOFGRLM DZH HKIZBVW, kZM 8, kVKXRW 79NT yZGXS xppuc.       ",wVERZGRLM                        ,xOLHVW - wLMV               ,nZQLI                ,2021.12.01         ,2021.12.21         ,2021.12.31                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
1003,OSD              ,39907,10,4000004854,5000001479,CCCDW     ,"174,310        ","wFIRMT XORVMG IVERVD, LM 75/qfm/7980, RG DZH WRHXLEVIVW GSZG HBHGVN HFRGZYRORGB (HBHGVN WIRUG) WRW MLG NVVG XIRGVIRZ.     ",kILXVWFIV                        ,xOLHVW - wLMV               ,nZQLI                ,2019.06.26         ,2019.10.01         ,2019.07.26                 ,"Jan 23, 2024","Dec 31, 9000",Y     ,I     ,"Jan 23, 2024, 5:54:57.642 AM ",1 ,,,,
